Column1
*******************************************************************************
JPL/HORIZONS                      1P/Halley                2023-Mar-07 22:19:42
Rec #:90000030        Soln.date: 2022-Jun-07_13:24:35   # obs: 8548 (1835-1994)
 
"IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):"
 
"2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -2.922989361145371E+09,  3.926047172666212E+09, -1.491460734332353E+09,"
"2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -2.920593572025293E+09,  3.927273536605213E+09, -1.491454978701896E+09,"
"2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -2.918218613347096E+09,  3.928540755017035E+09, -1.491449205336799E+09,"
"2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -2.915865262008326E+09,  3.929848471920780E+09, -1.491443408757080E+09,"
"2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -2.913534296951865E+09,  3.931196300936686E+09, -1.491437584164363E+09,"
"2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -2.911226492700155E+09,  3.932583821601902E+09, -1.491431728056969E+09,"
"2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -2.908942611036104E+09,  3.934010578724524E+09, -1.491425838739132E+09,"
"2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -2.906683392801703E+09,  3.935476085634474E+09, -1.491419916554790E+09,"
"2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -2.904449552020785E+09,  3.936979830683213E+09, -1.491413963766994E+09,"
"2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -2.902241773605163E+09,  3.938521285093892E+09, -1.491407984143188E+09,"
"2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -2.900060714421542E+09,  3.940099910083943E+09, -1.491401982401951E+09,"
"2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -2.897907006460405E+09,  3.941715161989316E+09, -1.491395963679363E+09,"
"2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -2.895781260680182E+09,  3.943366495179015E+09, -1.491389933109678E+09,"
"2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -2.893684070535099E+09,  3.945053363247126E+09, -1.491383895542556E+09,"
"2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -2.891616014761720E+09,  3.946775219174252E+09, -1.491377855373292E+09,"
"2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -2.889577659410855E+09,  3.948531515037303E+09, -1.491371816447171E+09,"
"2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -2.887569559311912E+09,  3.950321701627703E+09, -1.491365782002912E+09,"
"2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -2.885592259202650E+09,  3.952145228137386E+09, -1.491359754631442E+09,"
"2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -2.883646294720278E+09,  3.954001541931835E+09, -1.491353736237886E+09,"
"2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -2.881732193379966E+09,  3.955890088351001E+09, -1.491347728004030E+09,"
"2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -2.879850475593319E+09,  3.957810310450808E+09, -1.491341730354448E+09,"
"2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -2.878001655719212E+09,  3.959761648606715E+09, -1.491335742932226E+09,"
"2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -2.876186243103418E+09,  3.961743539932078E+09, -1.491329764589970E+09,"
"2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -2.874404743056510E+09,  3.963755417500641E+09, -1.491323793399618E+09,"
"2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -2.872657657737669E+09,  3.965796709387003E+09, -1.491317826681870E+09,"
"2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000, -2.870945486942172E+09,  3.967866837536748E+09, -1.491311861054558E+09,"
"2459987.500000000, A.D. 2023-Feb-12 00:00:00.0000, -2.869268728811313E+09,  3.969965216443815E+09, -1.491305892500583E+09,"
"2459988.500000000, A.D. 2023-Feb-13 00:00:00.0000, -2.867627880470947E+09,  3.972091251553576E+09, -1.491299916460854E+09,"
"2459989.500000000, A.D. 2023-Feb-14 00:00:00.0000, -2.866023438536179E+09,  3.974244337248807E+09, -1.491293927965608E+09,"
"2459990.500000000, A.D. 2023-Feb-15 00:00:00.0000, -2.864455899282762E+09,  3.976423854253781E+09, -1.491287921826307E+09,"
"2459991.500000000, A.D. 2023-Feb-16 00:00:00.0000, -2.862925758095031E+09,  3.978629166371087E+09, -1.491281892914568E+09,"
"2459992.500000000, A.D. 2023-Feb-17 00:00:00.0000, -2.861433507626301E+09,  3.980859616713857E+09, -1.491275836545917E+09,"
"2459993.500000000, A.D. 2023-Feb-18 00:00:00.0000, -2.859979634101276E+09,  3.983114524031048E+09, -1.491269748955173E+09,"
"2459994.500000000, A.D. 2023-Feb-19 00:00:00.0000, -2.858564611544393E+09,  3.985393180215938E+09, -1.491263627796108E+09,"
"2459995.500000000, A.D. 2023-Feb-20 00:00:00.0000, -2.857188894502204E+09,  3.987694850302055E+09, -1.491257472541249E+09,"
"2459996.500000000, A.D. 2023-Feb-21 00:00:00.0000, -2.855852910756113E+09,  3.990018775800787E+09, -1.491251284641115E+09,"
"2459997.500000000, A.D. 2023-Feb-22 00:00:00.0000, -2.854557055962265E+09,  3.992364181094047E+09, -1.491245067361115E+09,"
"2459998.500000000, A.D. 2023-Feb-23 00:00:00.0000, -2.853301691620582E+09,  3.994730281359673E+09, -1.491238825331577E+09,"
"2459999.500000000, A.D. 2023-Feb-24 00:00:00.0000, -2.852087146493697E+09,  3.997116290003986E+09, -1.491232563950367E+09,"
"2460000.500000000, A.D. 2023-Feb-25 00:00:00.0000, -2.850913720400458E+09,  3.999521424091845E+09, -1.491226288803643E+09,"
"2460001.500000000, A.D. 2023-Feb-26 00:00:00.0000, -2.849781688863941E+09,  4.001944907314201E+09, -1.491220005218347E+09,"
"2460002.500000000, A.D. 2023-Feb-27 00:00:00.0000, -2.848691307399367E+09,  4.004385970912674E+09, -1.491213717980598E+09,"
"2460003.500000000, A.D. 2023-Feb-28 00:00:00.0000, -2.847642814843825E+09,  4.006843853350924E+09, -1.491207431194984E+09,"
"2460004.500000000, A.D. 2023-Mar-01 00:00:00.0000, -2.846636435657984E+09,  4.009317799467420E+09, -1.491201148235733E+09,"
"2460005.500000000, A.D. 2023-Mar-02 00:00:00.0000, -2.845672381422606E+09,  4.011807059601229E+09, -1.491194871742785E+09,"
"2460006.500000000, A.D. 2023-Mar-03 00:00:00.0000, -2.844750851843512E+09,  4.014310888930021E+09, -1.491188603629156E+09,"
"2460007.500000000, A.D. 2023-Mar-04 00:00:00.0000, -2.843872035554123E+09,  4.016828547070492E+09, -1.491182345080849E+09,"
"2460008.500000000, A.D. 2023-Mar-05 00:00:00.0000, -2.843036110931681E+09,  4.019359297872350E+09, -1.491176096543099E+09,"
$$EOE
**************************************************************************************************************************
 
TIME

"  Barycentric Dynamical Time (""TDB"" or T_eph) output was requested. This"
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
"are in the Julian calendar system, which is automatically extended for dates"
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
"to the Earth's orbital motion and seasons. A ""Gregorian-only"" calendar mode is"
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  Ecliptic at the standard reference epoch

    Reference epoch: J2000.0
    X-Y plane: adopted Earth orbital plane at the reference epoch
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane
    X-axis   : ICRF
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense
               of Earth's north pole at the reference epoch.

  Symbol meaning:

"    JDTDB    Julian Day Number, Barycentric Dynamical Time"
      X      X-component of position vector (km)
      Y      Y-component of position vector (km)
      Z      Z-component of position vector (km)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

"    Solar System Dynamics Group, Horizons On-Line Ephemeris System"
"    4800 Oak Grove Drive, Jet Propulsion Laboratory"
"    Pasadena, CA  91109   USA"

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
