            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460109.500000000, A.D. 2023-Jun-14 00:00:00.0000,  3.220461592426271E+05,  2.066718737192854E+05, -4.383631331096694E+01,
2460110.500000000, A.D. 2023-Jun-15 00:00:00.0000,  2.691273212408340E+05,  2.768386034005131E+05,  7.816106696747927E+03,
2460111.500000000, A.D. 2023-Jun-16 00:00:00.0000,  2.021318235726232E+05,  3.327808409573737E+05,  1.526858504127625E+04,
2460112.500000000, A.D. 2023-Jun-17 00:00:00.0000,  1.248435948433744E+05,  3.720618976924977E+05,  2.194416935801131E+04,
2460113.500000000, A.D. 2023-Jun-18 00:00:00.0000,  4.136181512261784E+04,  3.931834345736363E+05,  2.753068878910478E+04,
2460114.500000000, A.D. 2023-Jun-19 00:00:00.0000, -4.411980066069773E+04,  3.955748420050030E+05,  3.178317712332751E+04,
2460115.500000000, A.D. 2023-Jun-20 00:00:00.0000, -1.275067175378587E+05,  3.795365299576209E+05,  3.452892045125132E+04,
2460116.500000000, A.D. 2023-Jun-21 00:00:00.0000, -2.049608132725352E+05,  3.461507745843223E+05,  3.566819726618529E+04,
2460117.500000000, A.D. 2023-Jun-22 00:00:00.0000, -2.730177086618003E+05,  2.971763321622917E+05,  3.517179078255463E+04,
2460118.500000000, A.D. 2023-Jun-23 00:00:00.0000, -3.286678205086206E+05,  2.349424212624135E+05,  3.307664426665827E+04,
2460119.500000000, A.D. 2023-Jun-24 00:00:00.0000, -3.694108866057908E+05,  1.622538695324351E+05,  2.948103073464494E+04,
2460120.500000000, A.D. 2023-Jun-25 00:00:00.0000, -3.932976184010180E+05,  8.231318526814222E+04,  2.454033073485795E+04,
2460121.500000000, A.D. 2023-Jun-26 00:00:00.0000, -3.989733778580520E+05, -1.341821942725333E+03,  1.846402256871614E+04,
2460122.500000000, A.D. 2023-Jun-27 00:00:00.0000, -3.857373281541573E+05, -8.489374800286858E+04,  1.151384545273343E+04,
2460123.500000000, A.D. 2023-Jun-28 00:00:00.0000, -3.536261025804284E+05, -1.643110057854320E+05,  4.002315882672534E+03,
2460124.500000000, A.D. 2023-Jun-29 00:00:00.0000, -3.035226970664873E+05, -2.354461650628145E+05, -3.710131536540866E+03,
2460125.500000000, A.D. 2023-Jun-30 00:00:00.0000, -2.372775815168713E+05, -2.941945639758664E+05, -1.122205111827143E+04,
2460126.500000000, A.D. 2023-Jul-01 00:00:00.0000, -1.578095655729403E+05, -3.367373626038962E+05, -1.810525932830207E+04,
2460127.500000000, A.D. 2023-Jul-02 00:00:00.0000, -6.913255555077635E+04, -3.598760773767398E+05, -2.392945785905451E+04,
2460128.500000000, A.D. 2023-Jul-03 00:00:00.0000,  2.375765732090239E+04, -3.614299552783858E+05, -2.829800753228806E+04,
2460129.500000000, A.D. 2023-Jul-04 00:00:00.0000,  1.151875251765659E+05, -3.406195641069455E+05, -3.089130366181578E+04,
2460130.500000000, A.D. 2023-Jul-05 00:00:00.0000,  1.992984442394644E+05, -2.983238080611522E+05, -3.150900737609527E+04,
2460131.500000000, A.D. 2023-Jul-06 00:00:00.0000,  2.706478826807159E+05, -2.371064767280350E+05, -3.009952113400890E+04,
2460132.500000000, A.D. 2023-Jul-07 00:00:00.0000,  3.247799974798544E+05, -1.609754696148470E+05, -2.676754495526445E+04,
2460133.500000000, A.D. 2023-Jul-08 00:00:00.0000,  3.586301700745688E+05, -7.493215899989604E+04, -2.175792252582323E+04,
2460134.500000000, A.D. 2023-Jul-09 00:00:00.0000,  3.706944494749993E+05,  1.556679832155437E+04, -1.542198980882319E+04,
2460135.500000000, A.D. 2023-Jul-10 00:00:00.0000,  3.609800924531746E+05,  1.051112394199649E+05, -8.176660497038913E+03,
2460136.500000000, A.D. 2023-Jul-11 00:00:00.0000,  3.308085209156504E+05,  1.887263725845806E+05, -4.653745764962659E+02,
2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  2.825511754836286E+05,  2.621296212344301E+05,  7.273928524734452E+03,
2460138.500000000, A.D. 2023-Jul-13 00:00:00.0000,  2.193573209259873E+05,  3.218745630047793E+05,  1.463255362597012E+04,
2460139.500000000, A.D. 2023-Jul-14 00:00:00.0000,  1.449040822769712E+05,  3.654142324377105E+05,  2.124757154773935E+04,
2460140.500000000, A.D. 2023-Jul-15 00:00:00.0000,  6.317737352610149E+04,  3.911123852342438E+05,  2.681288956326706E+04,
2460141.500000000, A.D. 2023-Jul-16 00:00:00.0000, -2.171839911672780E+04,  3.982214855477058E+05,  3.108638619240219E+04,
2460142.500000000, A.D. 2023-Jul-17 00:00:00.0000, -1.057263840307538E+05,  3.868372521945231E+05,  3.389406007519088E+04,
2460143.500000000, A.D. 2023-Jul-18 00:00:00.0000, -1.849817867992864E+05,  3.578344790382551E+05,  3.513167574448902E+04,
2460144.500000000, A.D. 2023-Jul-19 00:00:00.0000, -2.559350306803370E+05,  3.127875496695781E+05,  3.476418284317057E+04,
2460145.500000000, A.D. 2023-Jul-20 00:00:00.0000, -3.154527410677876E+05,  2.538801257978126E+05,  3.282322346515441E+04,
2460146.500000000, A.D. 2023-Jul-21 00:00:00.0000, -3.608968385447619E+05,  1.838099935226869E+05,  2.940320853747157E+04,
2460147.500000000, A.D. 2023-Jul-22 00:00:00.0000, -3.901848084702727E+05,  1.056954078522115E+05,  2.465659370152406E+04,
2460148.500000000, A.D. 2023-Jul-23 00:00:00.0000, -4.018375149973942E+05,  2.298762035813303E+04,  1.878900043486170E+04,
2460149.500000000, A.D. 2023-Jul-24 00:00:00.0000, -3.950234745393744E+05, -6.060949704991599E+04,  1.205464532761539E+04,
2460150.500000000, A.D. 2023-Jul-25 00:00:00.0000, -3.696092137505675E+05, -1.412173089025266E+05,  4.752143612236621E+03,
2460151.500000000, A.D. 2023-Jul-26 00:00:00.0000, -3.262232660607647E+05, -2.148688893595471E+05, -2.779846880114856E+03,
2460152.500000000, A.D. 2023-Jul-27 00:00:00.0000, -2.663354385397204E+05, -2.776219046527706E+05, -1.016844615415808E+04,
2460153.500000000, A.D. 2023-Jul-28 00:00:00.0000, -1.923419268370432E+05, -3.257205534835364E+05, -1.701598743430433E+04,
2460154.500000000, A.D. 2023-Jul-29 00:00:00.0000, -1.076299422130243E+05, -3.558284541448137E+05, -2.291586923775854E+04,
2460155.500000000, A.D. 2023-Jul-30 00:00:00.0000, -1.657490487453122E+04, -3.653418170311863E+05, -2.747750788186358E+04,
2460156.500000000, A.D. 2023-Jul-31 00:00:00.0000,  7.559228657198545E+04, -3.527616605311917E+05, -3.036133148252315E+04,
2460157.500000000, A.D. 2023-Aug-01 00:00:00.0000,  1.631038163653079E+05, -3.180564133592550E+05, -3.132076844975057E+04,
2460158.500000000, A.D. 2023-Aug-02 00:00:00.0000,  2.401689303729058E+05, -2.629011181353662E+05, -3.024270965827892E+04,
2460159.500000000, A.D. 2023-Aug-03 00:00:00.0000,  3.016097483205625E+05, -1.906738551348753E+05, -2.717400069147941E+04,
2460160.500000000, A.D. 2023-Aug-04 00:00:00.0000,  3.434664883393764E+05, -1.061530520168920E+05, -2.232315382519695E+04,
2460161.500000000, A.D. 2023-Aug-05 00:00:00.0000,  3.634055275485300E+05, -1.497212596728639E+04, -1.603470872261385E+04,
2460162.500000000, A.D. 2023-Aug-06 00:00:00.0000,  3.608369511027234E+05,  7.701860031533861E+04, -8.744066166744065E+03,
2460163.500000000, A.D. 2023-Aug-07 00:00:00.0000,  3.367624595064732E+05,  1.643192851554955E+05, -9.264719620081232E+02,
2460164.500000000, A.D. 2023-Aug-08 00:00:00.0000,  2.934561151568581E+05,  2.421766056118980E+05,  6.947655123114950E+03,
2460165.500000000, A.D. 2023-Aug-09 00:00:00.0000,  2.340945839108308E+05,  3.067921773026831E+05,  1.444486278904382E+04,
2460166.500000000, A.D. 2023-Aug-10 00:00:00.0000,  1.624186701231643E+05,  3.553841129534195E+05,  2.118800747333845E+04,
2460167.500000000, A.D. 2023-Aug-11 00:00:00.0000,  8.246127715777326E+04,  3.861595565057035E+05,  2.686583047577151E+04,
2460168.500000000, A.D. 2023-Aug-12 00:00:00.0000, -1.657313572710312E+03,  3.982464772558592E+05,  3.123648984097701E+04,
2460169.500000000, A.D. 2023-Aug-13 00:00:00.0000, -8.588229387321926E+04,  3.916144114164126E+05,  3.412800211490752E+04,
2460170.500000000, A.D. 2023-Aug-14 00:00:00.0000, -1.663438009646408E+05,  3.669970917504677E+05,  3.543736709727203E+04,
2460171.500000000, A.D. 2023-Aug-15 00:00:00.0000, -2.394576199840783E+05,  3.258188770585295E+05,  3.512912532836800E+04,
2460172.500000000, A.D. 2023-Aug-16 00:00:00.0000, -3.020156450320864E+05,  2.701215769862007E+05,  3.323343063255968E+04,
2460173.500000000, A.D. 2023-Aug-17 00:00:00.0000, -3.512691145331480E+05,  2.024872541134596E+05,  2.984341441195307E+04,
2460174.500000000, A.D. 2023-Aug-18 00:00:00.0000, -3.850040890051725E+05,  1.259541521092713E+05,  2.511159737581722E+04,
2460175.500000000, A.D. 2023-Aug-19 00:00:00.0000, -4.016075141243042E+05,  4.392534288822292E+04,  1.924525223021048E+04,
2460176.500000000, A.D. 2023-Aug-20 00:00:00.0000, -4.001232011552860E+05, -3.992850896387165E+04,  1.250080417506740E+04,
2460177.500000000, A.D. 2023-Aug-21 00:00:00.0000, -3.802992070979247E+05, -1.217708068528231E+05,  5.177447255070649E+03,
2460178.500000000, A.D. 2023-Aug-22 00:00:00.0000, -3.426300259223336E+05, -1.977058174577255E+05, -2.389941295399258E+03,
2460179.500000000, A.D. 2023-Aug-23 00:00:00.0000, -2.883971764412730E+05, -2.638954509603595E+05, -9.838831425508150E+03,
2460180.500000000, A.D. 2023-Aug-24 00:00:00.0000, -2.197087309010132E+05, -3.166959743768151E+05, -1.678878846327271E+04,
2460181.500000000, A.D. 2023-Aug-25 00:00:00.0000, -1.395308716749399E+05, -3.528287445076631E+05, -2.285434054453264E+04,
2460182.500000000, A.D. 2023-Aug-26 00:00:00.0000, -5.169222834896311E+04, -3.695990474643982E+05, -2.766285292401080E+04,
2460183.500000000, A.D. 2023-Aug-27 00:00:00.0000,  3.917385933381339E+04, -3.651683201954422E+05, -3.087919740152554E+04,
2460184.500000000, A.D. 2023-Aug-28 00:00:00.0000,  1.277967812810928E+05, -3.388624249285238E+05, -3.223767402401892E+04,
2460185.500000000, A.D. 2023-Aug-29 00:00:00.0000,  2.085908216664038E+05, -2.914615985642188E+05, -3.157853109453594E+04,
2460186.500000000, A.D. 2023-Aug-30 00:00:00.0000,  2.761435649069086E+05, -2.253780804722925E+05, -2.888189019148788E+04,
2460187.500000000, A.D. 2023-Aug-31 00:00:00.0000,  3.258135430073609E+05, -1.446140744477177E+05, -2.428809522942547E+04,
2460188.500000000, A.D. 2023-Sep-01 00:00:00.0000,  3.543031556115030E+05, -5.443720338830349E+04, -1.809408152196534E+04,
2460189.500000000, A.D. 2023-Sep-02 00:00:00.0000,  3.600423263003850E+05,  3.918806170076081E+04, -1.072238455357268E+04,
2460190.500000000, A.D. 2023-Sep-03 00:00:00.0000,  3.432734440021316E+05,  1.302709824234964E+05, -2.669994983476929E+03,
2460191.500000000, A.D. 2023-Sep-04 00:00:00.0000,  3.058437933350653E+05,  2.133906881260980E+05,  5.548363577191893E+03,
2460192.500000000, A.D. 2023-Sep-05 00:00:00.0000,  2.508124199671500E+05,  2.840960136827560E+05,  1.344840547643835E+04,
2460193.500000000, A.D. 2023-Sep-06 00:00:00.0000,  1.820083977722373E+05,  3.390830550214202E+05,  2.060836680044180E+04,
2460194.500000000, A.D. 2023-Sep-07 00:00:00.0000,  1.036423592916801E+05,  3.761988190462877E+05,  2.668488816143965E+04,
2460195.500000000, A.D. 2023-Sep-08 00:00:00.0000,  2.001522804328328E+04,  3.943456277640097E+05,  3.141700543563871E+04,
2460196.500000000, A.D. 2023-Sep-09 00:00:00.0000, -6.467761479879529E+04,  3.933503612795176E+05,  3.462350673470538E+04,
2460197.500000000, A.D. 2023-Sep-10 00:00:00.0000, -1.464710745755550E+05,  3.738380043713112E+05,  3.619780922733422E+04,
2460198.500000000, A.D. 2023-Sep-11 00:00:00.0000, -2.217128002133685E+05,  3.371260106438381E+05,  3.610282331532535E+04,
2460199.500000000, A.D. 2023-Sep-12 00:00:00.0000, -2.871271547052128E+05,  2.851403728302373E+05,  3.436680547654780E+04,
2460200.500000000, A.D. 2023-Sep-13 00:00:00.0000, -3.398763156649031E+05,  2.203458344375214E+05,  3.108019102942471E+04,
2460201.500000000, A.D. 2023-Sep-14 00:00:00.0000, -3.776259531613127E+05,  1.456795132027163E+05,  2.639281859829067E+04,
2460202.500000000, A.D. 2023-Sep-15 00:00:00.0000, -3.986161189839515E+05,  6.447759768475585E+04,  2.051072242347376E+04,
2460203.500000000, A.D. 2023-Sep-16 00:00:00.0000, -4.017331412946745E+05, -1.961255932788627E+04,  1.369169731603041E+04,
2460204.500000000, A.D. 2023-Sep-17 00:00:00.0000, -3.865758104858847E+05, -1.027388297289866E+05,  6.239055330800333E+03,
2460205.500000000, A.D. 2023-Sep-18 00:00:00.0000, -3.535089895517334E+05, -1.809693654184844E+05, -1.506707838148010E+03,
2460206.500000000, A.D. 2023-Sep-19 00:00:00.0000, -3.036993949656277E+05, -2.504341495455865E+05, -9.178360752240085E+03,
2460207.500000000, A.D. 2023-Sep-20 00:00:00.0000, -2.391303523434976E+05, -3.074806718366203E+05, -1.639442447256298E+04,
2460208.500000000, A.D. 2023-Sep-21 00:00:00.0000, -1.625930435924654E+05, -3.488431812930426E+05, -2.277374885773266E+04,
2460209.500000000, A.D. 2023-Sep-22 00:00:00.0000, -7.764947136600944E+04, -3.718274288153935E+05, -2.795251487417432E+04,
2460210.500000000, A.D. 2023-Sep-23 00:00:00.0000,  1.144363778598194E+04, -3.745132513662938E+05, -3.160426652010364E+04,
2460211.500000000, A.D. 2023-Sep-24 00:00:00.0000,  9.986928160329159E+04, -3.559722630090024E+05, -3.346347802525178E+04,
2460212.500000000, A.D. 2023-Sep-25 00:00:00.0000,  1.824690559071779E+05, -3.164841133452870E+05, -3.335226988646130E+04,
2460213.500000000, A.D. 2023-Sep-26 00:00:00.0000,  2.540696924114951E+05, -2.577120245914734E+05, -3.120787656649858E+04,
2460214.500000000, A.D. 2023-Sep-27 00:00:00.0000,  3.099184648469187E+05, -1.827736656051669E+05, -2.710555694183514E+04,
2460215.500000000, A.D. 2023-Sep-28 00:00:00.0000,  3.461836628403760E+05, -9.613409075264385E+04, -2.126911943880732E+04,
2460216.500000000, A.D. 2023-Sep-29 00:00:00.0000,  3.604219966797242E+05, -3.274857967524818E+03, -1.406142294244660E+04,
2460217.500000000, A.D. 2023-Sep-30 00:00:00.0000,  3.518855327447205E+05,  8.983659705925851E+04, -5.951932715886822E+03,
2460218.500000000, A.D. 2023-Oct-01 00:00:00.0000,  3.215707396410242E+05,  1.773698991698994E+05,  2.533459407149210E+03,
2460219.500000000, A.D. 2023-Oct-02 00:00:00.0000,  2.719987476375393E+05,  2.541962392768105E+05,  1.086816974088477E+04,
2460220.500000000, A.D. 2023-Oct-03 00:00:00.0000,  2.068096269195357E+05,  3.162727585798344E+05,  1.857283077239197E+04,
2460221.500000000, A.D. 2023-Oct-04 00:00:00.0000,  1.302984288329099E+05,  3.608052822744192E+05,  2.524694878204128E+04,
2460222.500000000, A.D. 2023-Oct-05 00:00:00.0000,  4.700213748803279E+04,  3.862258007991778E+05,  3.058311875125114E+04,
2460223.500000000, A.D. 2023-Oct-06 00:00:00.0000, -3.860681908650274E+04,  3.920593327508308E+05,  3.436787072000399E+04,
2460224.500000000, A.D. 2023-Oct-07 00:00:00.0000, -1.223159532316236E+05,  3.787521513619883E+05,  3.647497950930230E+04,
2460225.500000000, A.D. 2023-Oct-08 00:00:00.0000, -2.002821819827564E+05,  3.475095748610382E+05,  3.685623468895070E+04,
2460226.500000000, A.D. 2023-Oct-09 00:00:00.0000, -2.690893437092874E+05,  3.001654574678583E+05,  3.553283097966544E+04,
2460227.500000000, A.D. 2023-Oct-10 00:00:00.0000, -3.257840369483504E+05,  2.390861661481507E+05,  3.258877933901538E+04,
2460228.500000000, A.D. 2023-Oct-11 00:00:00.0000, -3.679114821752720E+05,  1.671003508325535E+05,  2.816644806369203E+04,
2460229.500000000, A.D. 2023-Oct-12 00:00:00.0000, -3.935637765767295E+05,  8.744025545884445E+04,  2.246351709364719E+04,
2460230.500000000, A.D. 2023-Oct-13 00:00:00.0000, -4.014442207235054E+05,  3.678666131674347E+03,  1.573015439425308E+04,
2460231.500000000, A.D. 2023-Oct-14 00:00:00.0000, -3.909436313629092E+05, -8.035319548926502E+04,  8.265025173112237E+03,
2460232.500000000, A.D. 2023-Oct-15 00:00:00.0000, -3.622180540208448E+05, -1.606777552612325E+05,  4.088108964518688E+02,
2460233.500000000, A.D. 2023-Oct-16 00:00:00.0000, -3.162528824662071E+05, -2.333180193496118E+05, -7.465745662941612E+03,
2460234.500000000, A.D. 2023-Oct-17 00:00:00.0000, -2.548971202867355E+05, -2.944768413802060E+05, -1.496767958079866E+04,
2460235.500000000, A.D. 2023-Oct-18 00:00:00.0000, -1.808538498512613E+05, -3.407390492914759E+05, -2.170526068183710E+04,
2460236.500000000, A.D. 2023-Oct-19 00:00:00.0000, -9.761805000663156E+04, -3.692824082767047E+05, -2.730622190818096E+04,
2460237.500000000, A.D. 2023-Oct-20 00:00:00.0000, -9.358533288856652E+03, -3.780822626556152E+05, -3.143959937985483E+04,
2460238.500000000, A.D. 2023-Oct-21 00:00:00.0000,  7.925551849583910E+04, -3.660960460196346E+05, -3.383799415740684E+04,
2460239.500000000, A.D. 2023-Oct-22 00:00:00.0000,  1.632822246034395E+05, -3.334149176828407E+05, -3.431912818844139E+04,
2460240.500000000, A.D. 2023-Oct-23 00:00:00.0000,  2.377883021670759E+05, -2.813674675571856E+05, -3.280539708910549E+04,
2460241.500000000, A.D. 2023-Oct-24 00:00:00.0000,  2.981809605156736E+05, -2.125536356576906E+05, -2.933945918502488E+04,
2460242.500000000, A.D. 2023-Oct-25 00:00:00.0000,  3.405766012128053E+05, -1.307789341692274E+05, -2.409281291495794E+04,
2460243.500000000, A.D. 2023-Oct-26 00:00:00.0000,  3.621713507591349E+05, -4.085802420423945E+04, -1.736341953393576E+04,
2460244.500000000, A.D. 2023-Oct-27 00:00:00.0000,  3.615528514019487E+05,  5.172703155929564E+04, -9.558819937179051E+03,
2460245.500000000, A.D. 2023-Oct-28 00:00:00.0000,  3.388785330323425E+05,  1.412909408513228E+05, -1.163816048128276E+03,
2460246.500000000, A.D. 2023-Oct-29 00:00:00.0000,  2.958608766039826E+05,  2.224615759262121E+05,  7.303643898779323E+03,
2460247.500000000, A.D. 2023-Oct-30 00:00:00.0000,  2.355490421959198E+05,  2.906476952688685E+05,  1.534028119707704E+04,
2460248.500000000, A.D. 2023-Oct-31 00:00:00.0000,  1.619581610280628E+05,  3.423663211831278E+05,  2.249931353235804E+04,
2460249.500000000, A.D. 2023-Nov-01 00:00:00.0000,  7.963881326566861E+04,  3.753859591471367E+05,  2.841905364117201E+04,
2460250.500000000, A.D. 2023-Nov-02 00:00:00.0000, -6.720693788541435E+03,  3.887012527720464E+05,  3.283603954808367E+04,
2460251.500000000, A.D. 2023-Nov-03 00:00:00.0000, -9.260027163392051E+04,  3.823950878615534E+05,  3.558514887507306E+04,
2460252.500000000, A.D. 2023-Nov-04 00:00:00.0000, -1.738463889112922E+05,  3.574533728608378E+05,  3.659157929634830E+04,
2460253.500000000, A.D. 2023-Nov-05 00:00:00.0000, -2.467792062431292E+05,  3.155834820663201E+05,  3.585961405591320E+04,
2460254.500000000, A.D. 2023-Nov-06 00:00:00.0000, -3.082395997329977E+05,  2.590646063805773E+05,  3.346174013781775E+04,
2460255.500000000, A.D. 2023-Nov-07 00:00:00.0000, -3.556080592233875E+05,  1.906379259609288E+05,  2.953000988532251E+04,
2460256.500000000, A.D. 2023-Nov-08 00:00:00.0000, -3.868211748018484E+05,  1.134305528255737E+05,  2.425012183284878E+04,
2460257.500000000, A.D. 2023-Nov-09 00:00:00.0000, -4.004027932384008E+05,  3.089902793626377E+04,  1.785768085168613E+04,
2460258.500000000, A.D. 2023-Nov-10 00:00:00.0000, -3.955179399127587E+05, -5.322604944038965E+04,  1.063540351362642E+04,
2460259.500000000, A.D. 2023-Nov-11 00:00:00.0000, -3.720484204885766E+05, -1.350140885251858E+05,  2.909570957624244E+03,
2460260.500000000, A.D. 2023-Nov-12 00:00:00.0000, -3.306793825569754E+05, -2.104455403872401E+05, -4.956198039113238E+03,
2460261.500000000, A.D. 2023-Nov-13 00:00:00.0000, -2.729766273963090E+05, -2.755725222346426E+05, -1.257166099967866E+04,
2460262.500000000, A.D. 2023-Nov-14 00:00:00.0000, -2.014273038004995E+05, -3.267309907560012E+05, -1.953633119888882E+04,
2460263.500000000, A.D. 2023-Nov-15 00:00:00.0000, -1.194152277615571E+05, -3.607916032139843E+05, -2.546150896119371E+04,
2460264.500000000, A.D. 2023-Nov-16 00:00:00.0000, -3.110932823941742E+04, -3.754211902697396E+05, -2.999640397873247E+04,
$$EOE
**************************************************************************************************************************
 
TIME

  Barycentric Dynamical Time ("TDB" or T_eph) output was requested. This
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  Ecliptic at the standard reference epoch

    Reference epoch: J2000.0
    X-Y plane: adopted Earth orbital plane at the reference epoch
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane
    X-axis   : ICRF
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense
               of Earth's north pole at the reference epoch.

  Symbol meaning:

    JDTDB    Julian Day Number, Barycentric Dynamical Time
      X      X-component of position vector (km)
      Y      Y-component of position vector (km)
      Z      Z-component of position vector (km)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
