            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460105.500000000, A.D. 2023-Jun-10 00:00:00.0000,  1.553054220588233E+07,  3.831256871523467E+08, -1.481261117601953E+08,
2460106.500000000, A.D. 2023-Jun-11 00:00:00.0000,  1.411076376960330E+07,  3.830389586491960E+08, -1.481726832043290E+08,
2460107.500000000, A.D. 2023-Jun-12 00:00:00.0000,  1.269076778744325E+07,  3.829467685573343E+08, -1.482171421809265E+08,
2460108.500000000, A.D. 2023-Jun-13 00:00:00.0000,  1.127057432238619E+07,  3.828491134118980E+08, -1.482594862140125E+08,
2460109.500000000, A.D. 2023-Jun-14 00:00:00.0000,  9.850203474152571E+06,  3.827459897842588E+08, -1.482997128396503E+08,
2460110.500000000, A.D. 2023-Jun-15 00:00:00.0000,  8.429675379406290E+06,  3.826373942822023E+08, -1.483378196059997E+08,
2460111.500000000, A.D. 2023-Jun-16 00:00:00.0000,  7.009010211961945E+06,  3.825233235501103E+08, -1.483738040733764E+08,
2460112.500000000, A.D. 2023-Jun-17 00:00:00.0000,  5.588228182992147E+06,  3.824037742691450E+08, -1.484076638143117E+08,
2460113.500000000, A.D. 2023-Jun-18 00:00:00.0000,  4.167349541235130E+06,  3.822787431574367E+08, -1.484393964136139E+08,
2460114.500000000, A.D. 2023-Jun-19 00:00:00.0000,  2.746394573201733E+06,  3.821482269702716E+08, -1.484689994684301E+08,
2460115.500000000, A.D. 2023-Jun-20 00:00:00.0000,  1.325383603384458E+06,  3.820122225002874E+08, -1.484964705883094E+08,
2460116.500000000, A.D. 2023-Jun-21 00:00:00.0000, -9.566300553597091E+04,  3.818707265776656E+08, -1.485218073952674E+08,
2460117.500000000, A.D. 2023-Jun-22 00:00:00.0000, -1.516724852482153E+06,  3.817237360703305E+08, -1.485450075238510E+08,
2460118.500000000, A.D. 2023-Jun-23 00:00:00.0000, -2.937781497771632E+06,  3.815712478841491E+08, -1.485660686212049E+08,
2460119.500000000, A.D. 2023-Jun-24 00:00:00.0000, -4.358812462908926E+06,  3.814132589631356E+08, -1.485849883471394E+08,
2460120.500000000, A.D. 2023-Jun-25 00:00:00.0000, -5.779797230377384E+06,  3.812497662896553E+08, -1.486017643741980E+08,
2460121.500000000, A.D. 2023-Jun-26 00:00:00.0000, -7.200715243430687E+06,  3.810807668846349E+08, -1.486163943877275E+08,
2460122.500000000, A.D. 2023-Jun-27 00:00:00.0000, -8.621545905884249E+06,  3.809062578077730E+08, -1.486288760859487E+08,
2460123.500000000, A.D. 2023-Jun-28 00:00:00.0000, -1.004226858190664E+07,  3.807262361577547E+08, -1.486392071800276E+08,
2460124.500000000, A.D. 2023-Jun-29 00:00:00.0000, -1.146286259581104E+07,  3.805406990724691E+08, -1.486473853941485E+08,
2460125.500000000, A.D. 2023-Jun-30 00:00:00.0000, -1.288330723184654E+07,  3.803496437292277E+08, -1.486534084655876E+08,
2460126.500000000, A.D. 2023-Jul-01 00:00:00.0000, -1.430358173398928E+07,  3.801530673449873E+08, -1.486572741447879E+08,
2460127.500000000, A.D. 2023-Jul-02 00:00:00.0000, -1.572366530573365E+07,  3.799509671765757E+08, -1.486589801954353E+08,
2460128.500000000, A.D. 2023-Jul-03 00:00:00.0000, -1.714353710988390E+07,  3.797433405209197E+08, -1.486585243945352E+08,
2460129.500000000, A.D. 2023-Jul-04 00:00:00.0000, -1.856317626834519E+07,  3.795301847152745E+08, -1.486559045324904E+08,
2460130.500000000, A.D. 2023-Jul-05 00:00:00.0000, -1.998256186191490E+07,  3.793114971374595E+08, -1.486511184131809E+08,
2460131.500000000, A.D. 2023-Jul-06 00:00:00.0000, -2.140167293007454E+07,  3.790872752060935E+08, -1.486441638540435E+08,
2460132.500000000, A.D. 2023-Jul-07 00:00:00.0000, -2.282048847078101E+07,  3.788575163808343E+08, -1.486350386861532E+08,
2460133.500000000, A.D. 2023-Jul-08 00:00:00.0000, -2.423898744025844E+07,  3.786222181626214E+08, -1.486237407543061E+08,
2460134.500000000, A.D. 2023-Jul-09 00:00:00.0000, -2.565714875279016E+07,  3.783813780939209E+08, -1.486102679171023E+08,
2460135.500000000, A.D. 2023-Jul-10 00:00:00.0000, -2.707495128051079E+07,  3.781349937589743E+08, -1.485946180470315E+08,
2460136.500000000, A.D. 2023-Jul-11 00:00:00.0000, -2.849237385319827E+07,  3.778830627840489E+08, -1.485767890305579E+08,
2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000, -2.990939525806630E+07,  3.776255828376930E+08, -1.485567787682086E+08,
2460138.500000000, A.D. 2023-Jul-13 00:00:00.0000, -3.132599423955692E+07,  3.773625516309931E+08, -1.485345851746611E+08,
2460139.500000000, A.D. 2023-Jul-14 00:00:00.0000, -3.274214949913327E+07,  3.770939669178341E+08, -1.485102061788331E+08,
2460140.500000000, A.D. 2023-Jul-15 00:00:00.0000, -3.415783969507258E+07,  3.768198264951627E+08, -1.484836397239733E+08,
2460141.500000000, A.D. 2023-Jul-16 00:00:00.0000, -3.557304344225913E+07,  3.765401282032537E+08, -1.484548837677536E+08,
2460142.500000000, A.D. 2023-Jul-17 00:00:00.0000, -3.698773931197776E+07,  3.762548699259809E+08, -1.484239362823616E+08,
2460143.500000000, A.D. 2023-Jul-18 00:00:00.0000, -3.840190583170748E+07,  3.759640495910882E+08, -1.483907952545964E+08,
2460144.500000000, A.D. 2023-Jul-19 00:00:00.0000, -3.981552148491542E+07,  3.756676651704671E+08, -1.483554586859627E+08,
2460145.500000000, A.D. 2023-Jul-20 00:00:00.0000, -4.122856471085072E+07,  3.753657146804346E+08, -1.483179245927692E+08,
2460146.500000000, A.D. 2023-Jul-21 00:00:00.0000, -4.264101390433928E+07,  3.750581961820162E+08, -1.482781910062258E+08,
2460147.500000000, A.D. 2023-Jul-22 00:00:00.0000, -4.405284741557830E+07,  3.747451077812310E+08, -1.482362559725435E+08,
2460148.500000000, A.D. 2023-Jul-23 00:00:00.0000, -4.546404354993146E+07,  3.744264476293803E+08, -1.481921175530352E+08,
2460149.500000000, A.D. 2023-Jul-24 00:00:00.0000, -4.687458056772430E+07,  3.741022139233399E+08, -1.481457738242174E+08,
2460150.500000000, A.D. 2023-Jul-25 00:00:00.0000, -4.828443668404000E+07,  3.737724049058548E+08, -1.480972228779138E+08,
2460151.500000000, A.D. 2023-Jul-26 00:00:00.0000, -4.969359006851552E+07,  3.734370188658379E+08, -1.480464628213596E+08,
2460152.500000000, A.D. 2023-Jul-27 00:00:00.0000, -5.110201884513830E+07,  3.730960541386712E+08, -1.479934917773076E+08,
2460153.500000000, A.D. 2023-Jul-28 00:00:00.0000, -5.250970109204310E+07,  3.727495091065112E+08, -1.479383078841352E+08,
2460154.500000000, A.D. 2023-Jul-29 00:00:00.0000, -5.391661484130955E+07,  3.723973821985974E+08, -1.478809092959533E+08,
2460155.500000000, A.D. 2023-Jul-30 00:00:00.0000, -5.532273807876003E+07,  3.720396718915632E+08, -1.478212941827154E+08,
2460156.500000000, A.D. 2023-Jul-31 00:00:00.0000, -5.672804874375799E+07,  3.716763767097513E+08, -1.477594607303293E+08,
2460157.500000000, A.D. 2023-Aug-01 00:00:00.0000, -5.813252472900704E+07,  3.713074952255324E+08, -1.476954071407697E+08,
2460158.500000000, A.D. 2023-Aug-02 00:00:00.0000, -5.953614388035014E+07,  3.709330260596262E+08, -1.476291316321916E+08,
2460159.500000000, A.D. 2023-Aug-03 00:00:00.0000, -6.093888399656980E+07,  3.705529678814274E+08, -1.475606324390456E+08,
2460160.500000000, A.D. 2023-Aug-04 00:00:00.0000, -6.234072282918844E+07,  3.701673194093336E+08, -1.474899078121947E+08,
2460161.500000000, A.D. 2023-Aug-05 00:00:00.0000, -6.374163808226972E+07,  3.697760794110782E+08, -1.474169560190322E+08,
2460162.500000000, A.D. 2023-Aug-06 00:00:00.0000, -6.514160741222014E+07,  3.693792467040649E+08, -1.473417753436010E+08,
2460163.500000000, A.D. 2023-Aug-07 00:00:00.0000, -6.654060842759154E+07,  3.689768201557080E+08, -1.472643640867142E+08,
2460164.500000000, A.D. 2023-Aug-08 00:00:00.0000, -6.793861868888415E+07,  3.685687986837742E+08, -1.471847205660772E+08,
2460165.500000000, A.D. 2023-Aug-09 00:00:00.0000, -6.933561570835033E+07,  3.681551812567288E+08, -1.471028431164117E+08,
2460166.500000000, A.D. 2023-Aug-10 00:00:00.0000, -7.073157694979905E+07,  3.677359668940859E+08, -1.470187300895802E+08,
2460167.500000000, A.D. 2023-Aug-11 00:00:00.0000, -7.212647982840104E+07,  3.673111546667610E+08, -1.469323798547127E+08,
2460168.500000000, A.D. 2023-Aug-12 00:00:00.0000, -7.352030171049485E+07,  3.668807436974285E+08, -1.468437907983343E+08,
2460169.500000000, A.D. 2023-Aug-13 00:00:00.0000, -7.491301991339347E+07,  3.664447331608822E+08, -1.467529613244948E+08,
2460170.500000000, A.D. 2023-Aug-14 00:00:00.0000, -7.630461170519195E+07,  3.660031222843991E+08, -1.466598898548993E+08,
2460171.500000000, A.D. 2023-Aug-15 00:00:00.0000, -7.769505430457585E+07,  3.655559103481076E+08, -1.465645748290406E+08,
2460172.500000000, A.D. 2023-Aug-16 00:00:00.0000, -7.908432488063028E+07,  3.651030966853592E+08, -1.464670147043327E+08,
2460173.500000000, A.D. 2023-Aug-17 00:00:00.0000, -8.047240055265033E+07,  3.646446806831031E+08, -1.463672079562462E+08,
2460174.500000000, A.D. 2023-Aug-18 00:00:00.0000, -8.185925838995185E+07,  3.641806617822660E+08, -1.462651530784449E+08,
2460175.500000000, A.D. 2023-Aug-19 00:00:00.0000, -8.324487541168368E+07,  3.637110394781348E+08, -1.461608485829244E+08,
2460176.500000000, A.D. 2023-Aug-20 00:00:00.0000, -8.462922858664040E+07,  3.632358133207426E+08, -1.460542930001515E+08,
2460177.500000000, A.D. 2023-Aug-21 00:00:00.0000, -8.601229483307649E+07,  3.627549829152597E+08, -1.459454848792056E+08,
2460178.500000000, A.D. 2023-Aug-22 00:00:00.0000, -8.739405101852113E+07,  3.622685479223871E+08, -1.458344227879213E+08,
2460179.500000000, A.D. 2023-Aug-23 00:00:00.0000, -8.877447395959444E+07,  3.617765080587553E+08, -1.457211053130336E+08,
2460180.500000000, A.D. 2023-Aug-24 00:00:00.0000, -9.015354042182450E+07,  3.612788630973261E+08, -1.456055310603230E+08,
2460181.500000000, A.D. 2023-Aug-25 00:00:00.0000, -9.153122711946559E+07,  3.607756128677979E+08, -1.454876986547633E+08,
2460182.500000000, A.D. 2023-Aug-26 00:00:00.0000, -9.290751071531767E+07,  3.602667572570158E+08, -1.453676067406712E+08,
2460183.500000000, A.D. 2023-Aug-27 00:00:00.0000, -9.428236782054684E+07,  3.597522962093855E+08, -1.452452539818561E+08,
2460184.500000000, A.D. 2023-Aug-28 00:00:00.0000, -9.565577499450724E+07,  3.592322297272900E+08, -1.451206390617732E+08,
2460185.500000000, A.D. 2023-Aug-29 00:00:00.0000, -9.702770874456392E+07,  3.587065578715126E+08, -1.449937606836774E+08,
2460186.500000000, A.D. 2023-Aug-30 00:00:00.0000, -9.839814552591734E+07,  3.581752807616614E+08, -1.448646175707782E+08,
2460187.500000000, A.D. 2023-Aug-31 00:00:00.0000, -9.976706174142875E+07,  3.576383985765992E+08, -1.447332084663976E+08,
2460188.500000000, A.D. 2023-Sep-01 00:00:00.0000, -1.011344337414473E+08,  3.570959115548779E+08, -1.445995321341288E+08,
2460189.500000000, A.D. 2023-Sep-02 00:00:00.0000, -1.025002378236381E+08,  3.565478199951749E+08, -1.444635873579965E+08,
2460190.500000000, A.D. 2023-Sep-03 00:00:00.0000, -1.038644502328123E+08,  3.559941242567366E+08, -1.443253729426191E+08,
2460191.500000000, A.D. 2023-Sep-04 00:00:00.0000, -1.052270471607580E+08,  3.554348247598228E+08, -1.441848877133727E+08,
2460192.500000000, A.D. 2023-Sep-05 00:00:00.0000, -1.065880047460729E+08,  3.548699219861579E+08, -1.440421305165566E+08,
2460193.500000000, A.D. 2023-Sep-06 00:00:00.0000, -1.079472990739985E+08,  3.542994164793846E+08, -1.438971002195606E+08,
2460194.500000000, A.D. 2023-Sep-07 00:00:00.0000, -1.093049061762556E+08,  3.537233088455230E+08, -1.437497957110337E+08,
2460195.500000000, A.D. 2023-Sep-08 00:00:00.0000, -1.106608020308820E+08,  3.531415997534325E+08, -1.436002159010549E+08,
2460196.500000000, A.D. 2023-Sep-09 00:00:00.0000, -1.120149625620713E+08,  3.525542899352791E+08, -1.434483597213060E+08,
2460197.500000000, A.D. 2023-Sep-10 00:00:00.0000, -1.133673636400129E+08,  3.519613801870068E+08, -1.432942261252450E+08,
2460198.500000000, A.D. 2023-Sep-11 00:00:00.0000, -1.147179810807352E+08,  3.513628713688124E+08, -1.431378140882826E+08,
2460199.500000000, A.D. 2023-Sep-12 00:00:00.0000, -1.160667906459491E+08,  3.507587644056258E+08, -1.429791226079596E+08,
2460200.500000000, A.D. 2023-Sep-13 00:00:00.0000, -1.174137680428941E+08,  3.501490602875935E+08, -1.428181507041264E+08,
2460201.500000000, A.D. 2023-Sep-14 00:00:00.0000, -1.187588889241853E+08,  3.495337600705678E+08, -1.426548974191242E+08,
2460202.500000000, A.D. 2023-Sep-15 00:00:00.0000, -1.201021288876643E+08,  3.489128648765990E+08, -1.424893618179685E+08,
2460203.500000000, A.D. 2023-Sep-16 00:00:00.0000, -1.214434634762491E+08,  3.482863758944324E+08, -1.423215429885331E+08,
2460204.500000000, A.D. 2023-Sep-17 00:00:00.0000, -1.227828681777890E+08,  3.476542943800108E+08, -1.421514400417378E+08,
2460205.500000000, A.D. 2023-Sep-18 00:00:00.0000, -1.241203184249189E+08,  3.470166216569794E+08, -1.419790521117363E+08,
2460206.500000000, A.D. 2023-Sep-19 00:00:00.0000, -1.254557895949175E+08,  3.463733591171975E+08, -1.418043783561068E+08,
2460207.500000000, A.D. 2023-Sep-20 00:00:00.0000, -1.267892570095666E+08,  3.457245082212528E+08, -1.416274179560448E+08,
2460208.500000000, A.D. 2023-Sep-21 00:00:00.0000, -1.281206959350130E+08,  3.450700704989812E+08, -1.414481701165568E+08,
2460209.500000000, A.D. 2023-Sep-22 00:00:00.0000, -1.294500815816319E+08,  3.444100475499915E+08, -1.412666340666569E+08,
2460210.500000000, A.D. 2023-Sep-23 00:00:00.0000, -1.307773891038944E+08,  3.437444410441940E+08, -1.410828090595644E+08,
2460211.500000000, A.D. 2023-Sep-24 00:00:00.0000, -1.321025936002339E+08,  3.430732527223329E+08, -1.408966943729046E+08,
2460212.500000000, A.D. 2023-Sep-25 00:00:00.0000, -1.334256701129179E+08,  3.423964843965260E+08, -1.407082893089101E+08,
2460213.500000000, A.D. 2023-Sep-26 00:00:00.0000, -1.347465936279210E+08,  3.417141379508069E+08, -1.405175931946253E+08,
2460214.500000000, A.D. 2023-Sep-27 00:00:00.0000, -1.360653390747997E+08,  3.410262153416712E+08, -1.403246053821118E+08,
2460215.500000000, A.D. 2023-Sep-28 00:00:00.0000, -1.373818813265698E+08,  3.403327185986303E+08, -1.401293252486568E+08,
2460216.500000000, A.D. 2023-Sep-29 00:00:00.0000, -1.386961951995870E+08,  3.396336498247669E+08, -1.399317521969823E+08,
2460217.500000000, A.D. 2023-Sep-30 00:00:00.0000, -1.400082554534299E+08,  3.389290111972970E+08, -1.397318856554569E+08,
2460218.500000000, A.D. 2023-Oct-01 00:00:00.0000, -1.413180367907842E+08,  3.382188049681362E+08, -1.395297250783099E+08,
2460219.500000000, A.D. 2023-Oct-02 00:00:00.0000, -1.426255138573312E+08,  3.375030334644697E+08, -1.393252699458466E+08,
2460220.500000000, A.D. 2023-Oct-03 00:00:00.0000, -1.439306612416376E+08,  3.367816990893286E+08, -1.391185197646658E+08,
2460221.500000000, A.D. 2023-Oct-04 00:00:00.0000, -1.452334534750493E+08,  3.360548043221699E+08, -1.389094740678794E+08,
2460222.500000000, A.D. 2023-Oct-05 00:00:00.0000, -1.465338650315878E+08,  3.353223517194622E+08, -1.386981324153342E+08,
2460223.500000000, A.D. 2023-Oct-06 00:00:00.0000, -1.478318703278487E+08,  3.345843439152745E+08, -1.384844943938352E+08,
2460224.500000000, A.D. 2023-Oct-07 00:00:00.0000, -1.491274437229029E+08,  3.338407836218721E+08, -1.382685596173715E+08,
2460225.500000000, A.D. 2023-Oct-08 00:00:00.0000, -1.504205595182036E+08,  3.330916736303160E+08, -1.380503277273439E+08,
2460226.500000000, A.D. 2023-Oct-09 00:00:00.0000, -1.517111919574921E+08,  3.323370168110672E+08, -1.378297983927949E+08,
2460227.500000000, A.D. 2023-Oct-10 00:00:00.0000, -1.529993152267104E+08,  3.315768161145964E+08, -1.376069713106402E+08,
2460228.500000000, A.D. 2023-Oct-11 00:00:00.0000, -1.542849034539148E+08,  3.308110745719987E+08, -1.373818462059037E+08,
2460229.500000000, A.D. 2023-Oct-12 00:00:00.0000, -1.555679307091939E+08,  3.300397952956129E+08, -1.371544228319525E+08,
2460230.500000000, A.D. 2023-Oct-13 00:00:00.0000, -1.568483710045890E+08,  3.292629814796460E+08, -1.369247009707363E+08,
2460231.500000000, A.D. 2023-Oct-14 00:00:00.0000, -1.581261982940188E+08,  3.284806364008032E+08, -1.366926804330274E+08,
2460232.500000000, A.D. 2023-Oct-15 00:00:00.0000, -1.594013864732067E+08,  3.276927634189217E+08, -1.364583610586634E+08,
2460233.500000000, A.D. 2023-Oct-16 00:00:00.0000, -1.606739093796118E+08,  3.268993659776115E+08, -1.362217427167928E+08,
2460234.500000000, A.D. 2023-Oct-17 00:00:00.0000, -1.619437407923638E+08,  3.261004476048993E+08, -1.359828253061211E+08,
2460235.500000000, A.D. 2023-Oct-18 00:00:00.0000, -1.632108544322006E+08,  3.252960119138790E+08, -1.357416087551607E+08,
2460236.500000000, A.D. 2023-Oct-19 00:00:00.0000, -1.644752239614108E+08,  3.244860626033666E+08, -1.354980930224828E+08,
2460237.500000000, A.D. 2023-Oct-20 00:00:00.0000, -1.657368229837789E+08,  3.236706034585606E+08, -1.352522780969704E+08,
2460238.500000000, A.D. 2023-Oct-21 00:00:00.0000, -1.669956250445345E+08,  3.228496383517071E+08, -1.350041639980748E+08,
2460239.500000000, A.D. 2023-Oct-22 00:00:00.0000, -1.682516036303057E+08,  3.220231712427712E+08, -1.347537507760741E+08,
2460240.500000000, A.D. 2023-Oct-23 00:00:00.0000, -1.695047321690759E+08,  3.211912061801119E+08, -1.345010385123332E+08,
2460241.500000000, A.D. 2023-Oct-24 00:00:00.0000, -1.707549840301450E+08,  3.203537473011642E+08, -1.342460273195672E+08,
2460242.500000000, A.D. 2023-Oct-25 00:00:00.0000, -1.720023325240947E+08,  3.195107988331248E+08, -1.339887173421060E+08,
2460243.500000000, A.D. 2023-Oct-26 00:00:00.0000, -1.732467509027570E+08,  3.186623650936437E+08, -1.337291087561623E+08,
2460244.500000000, A.D. 2023-Oct-27 00:00:00.0000, -1.744882123591884E+08,  3.178084504915221E+08, -1.334672017701010E+08,
2460245.500000000, A.D. 2023-Oct-28 00:00:00.0000, -1.757266900276472E+08,  3.169490595274134E+08, -1.332029966247112E+08,
2460246.500000000, A.D. 2023-Oct-29 00:00:00.0000, -1.769621569835752E+08,  3.160841967945316E+08, -1.329364935934808E+08,
2460247.500000000, A.D. 2023-Oct-30 00:00:00.0000, -1.781945862435846E+08,  3.152138669793642E+08, -1.326676929828731E+08,
2460248.500000000, A.D. 2023-Oct-31 00:00:00.0000, -1.794239507654484E+08,  3.143380748623900E+08, -1.323965951326062E+08,
2460249.500000000, A.D. 2023-Nov-01 00:00:00.0000, -1.806502234480960E+08,  3.134568253188037E+08, -1.321232004159342E+08,
2460250.500000000, A.D. 2023-Nov-02 00:00:00.0000, -1.818733771316133E+08,  3.125701233192439E+08, -1.318475092399307E+08,
2460251.500000000, A.D. 2023-Nov-03 00:00:00.0000, -1.830933845972472E+08,  3.116779739305286E+08, -1.315695220457759E+08,
2460252.500000000, A.D. 2023-Nov-04 00:00:00.0000, -1.843102185674153E+08,  3.107803823163944E+08, -1.312892393090442E+08,
2460253.500000000, A.D. 2023-Nov-05 00:00:00.0000, -1.855238517057200E+08,  3.098773537382425E+08, -1.310066615399961E+08,
2460254.500000000, A.D. 2023-Nov-06 00:00:00.0000, -1.867342566169680E+08,  3.089688935558889E+08, -1.307217892838708E+08,
2460255.500000000, A.D. 2023-Nov-07 00:00:00.0000, -1.879414058471947E+08,  3.080550072283216E+08, -1.304346231211830E+08,
2460256.500000000, A.D. 2023-Nov-08 00:00:00.0000, -1.891452718836929E+08,  3.071357003144615E+08, -1.301451636680201E+08,
2460257.500000000, A.D. 2023-Nov-09 00:00:00.0000, -1.903458271550483E+08,  3.062109784739301E+08, -1.298534115763436E+08,
2460258.500000000, A.D. 2023-Nov-10 00:00:00.0000, -1.915430440311784E+08,  3.052808474678227E+08, -1.295593675342918E+08,
2460259.500000000, A.D. 2023-Nov-11 00:00:00.0000, -1.927368948233781E+08,  3.043453131594856E+08, -1.292630322664859E+08,
2460260.500000000, A.D. 2023-Nov-12 00:00:00.0000, -1.939273517843702E+08,  3.034043815153015E+08, -1.289644065343374E+08,
2460261.500000000, A.D. 2023-Nov-13 00:00:00.0000, -1.951143871083612E+08,  3.024580586054776E+08, -1.286634911363590E+08,
2460262.500000000, A.D. 2023-Nov-14 00:00:00.0000, -1.962979729311031E+08,  3.015063506048412E+08, -1.283602869084771E+08,
2460263.500000000, A.D. 2023-Nov-15 00:00:00.0000, -1.974780813299606E+08,  3.005492637936399E+08, -1.280547947243476E+08,
2460264.500000000, A.D. 2023-Nov-16 00:00:00.0000, -1.986546843239842E+08,  2.995868045583478E+08, -1.277470154956735E+08,
$$EOE
**************************************************************************************************************************
 
TIME

  Barycentric Dynamical Time ("TDB" or T_eph) output was requested. This
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  Ecliptic at the standard reference epoch

    Reference epoch: J2000.0
    X-Y plane: adopted Earth orbital plane at the reference epoch
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane
    X-axis   : ICRF
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense
               of Earth's north pole at the reference epoch.

  Symbol meaning:

    JDTDB    Julian Day Number, Barycentric Dynamical Time
      X      X-component of position vector (km)
      Y      Y-component of position vector (km)
      Z      Z-component of position vector (km)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
